,File_name,File_path,File_size_bytes,File_size,Creation_time,Modification_time,Title,Author,Pages,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version,Image_height,Image_width,Image_format,Image_mode,Image_is_animated,Frames_in_image
0,Rubinshteyn_N_L_Russkaya_istoriografia_SPb__2008.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/Rubinshteyn_N_L_Russkaya_istoriografia_SPb__2008.pdf,165861607,158.18 MB,Tue Mar 16 08:47:45 2021,Mon Feb  1 21:01:21 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Professionalnye_istoriki_v_publichnoy_istorii1.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/Professionalnye_istoriki_v_publichnoy_istorii1.pdf,1591835,1.52 MB,Mon Jan 18 13:07:42 2021,Sun Jan 10 16:48:43 2021,Untitled,Foxit Phantom - Foxit Corporation,8.0,,,,,,,,,,,,,,,,,,,,,
0,nauka-i-obschestvo-publichnaya-istoriya-v-kontekste-istoricheskoy-kultury-epohi-globalizatsii.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/nauka-i-obschestvo-publichnaya-istoriya-v-kontekste-istoricheskoy-kultury-epohi-globalizatsii.pdf,326480,318.83 KB,Tue Nov 30 03:11:40 2021,Sun Jan 10 16:48:14 2021,"Метод искусственного замораживания фильтрующих грунтов широко используется в практике гражданского строительства при проходке стволов шахт, метро и подобных объектов как средство борьбы с прорывом фильтрующейся жидкости",Microsoft® Word 2010,13.0,,,,,,,,,,,,,,,,,,,,,
0,bfa7dcd5cdae826016d64c7e05a008d2.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/bfa7dcd5cdae826016d64c7e05a008d2.pdf,3066119,2.92 MB,Mon Oct  4 12:31:48 2021,Mon Jan 18 23:48:45 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Rumyantseva.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/Rumyantseva.pdf,3516038,3.35 MB,Tue Apr 13 16:32:38 2021,Tue Jan 12 12:54:47 2021,HSE_sourcestudy_1.indd,Acrobat Distiller 10.1.5 (Windows),688.0,,,,,,,,,,,,,,,,,,,,,
0,Repina_L_P__Zvereva_V_V__Paramonova_M_Yu_-_Is.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/Repina_L_P__Zvereva_V_V__Paramonova_M_Yu_-_Is.pdf,34379349,32.79 MB,Mon Feb 15 21:14:57 2021,Sat Jan 23 14:20:27 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Istoria_i_pamyat.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/Istoria_i_pamyat.pdf,15298286,14.59 MB,Mon Jan 25 18:34:50 2021,Mon Jan 18 23:47:33 2021,Целью настоящего сборника – представить,Acrobat Distiller 7.0.5 (Windows),768.0,,,,,,,,,,,,,,,,,,,,,
0,im-28-7-i-4-2010.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/im-28-7-i-4-2010.pdf,657375,641.97 KB,Sat Jan 23 13:25:24 2021,Sat Jan 23 13:25:16 2021,Спор М. В. Ломоносова и Г.-Ф. Миллера как конфликт разных историографических культур,ABBYY FineReader 9.0 Professional Edition,15.0,,,,,,,,,,,,,,,,,,,,,
0,2014_GPIBR_RBK_SIM_MFR.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/2014_GPIBR_RBK_SIM_MFR.pdf,4492919,4.28 MB,Mon Jan 18 13:07:50 2021,Sun Jan 10 16:49:18 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,roii-dialogue-44_13.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Литература. Теория и методология/roii-dialogue-44_13.pdf,342700,334.67 KB,Mon Jan 18 13:07:42 2021,Sun Jan 10 16:49:32 2021,ОБРАЗ  ДРУГОГО,Microsoft® Office Word 2007,15.0,,,,,,,,,,,,,,,,,,,,,
0,"Гендерная история,. Теория и методология. Презентация.pdf","/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Гендерная история,. Теория и методология. Презентация.pdf",1536323,1.47 MB,Fri Nov 12 18:39:10 2021,Tue Mar 16 12:06:27 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Доклад. Гендерная история.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Доклад. Гендерная история.docx,33876,33.08 KB,Fri Nov 26 20:43:54 2021,Mon Mar 15 20:53:13 2021,,,,Карнаухов Иван Алексеевич,,,,2021-02-15 21:29:00,,,,Карнаухов Иван Алексеевич,,2021-03-15 17:53:00,9.0,,,,,,,,,
0,2009_Sb_statey_Pol_Gender_Kultura_Nemetsie_i_russkie_isledovania.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/2009_Sb_statey_Pol_Gender_Kultura_Nemetsie_i_russkie_isledovania.pdf,29201766,27.85 MB,Fri Nov 12 18:39:51 2021,Thu Feb 11 08:54:00 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,"доклад. теормет, конспект.docx","/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/доклад. теормет, конспект.docx",72013,70.33 KB,Tue Nov 30 05:17:33 2021,Wed Feb 17 22:00:37 2021,,,,Карнаухов Иван Алексеевич,,,,2021-02-13 20:42:00,,,,Карнаухов Иван Алексеевич,,2021-02-17 19:00:00,8.0,,,,,,,,,
0,"(What is history) Rose, Sonya O - What is gender history_-Polity (2010).pdf","/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/(What is history) Rose, Sonya O - What is gender history_-Polity (2010).pdf",559193,546.09 KB,Sat Jan 15 22:53:29 2022,Thu Feb 11 08:54:00 2021,What Is Gender History?,Acrobat Distiller 4.05 for Macintosh,167.0,,,,,,,,,,,,,,,,,,,,,
0,2001_Zherebkin_S_V__red__Vvedenie_v_gendernye_issledovania_Ch_II_Khrestomatia.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/2001_Zherebkin_S_V__red__Vvedenie_v_gendernye_issledovania_Ch_II_Khrestomatia.pdf,84230103,80.33 MB,Thu Jan 20 14:48:47 2022,Thu Feb 11 08:54:00 2021,Введение в гендервые исследования. Ч. II: Хрестоматия,Adobe Acrobat 10.1.13 Paper Capture Plug-in,993.0,,,,,,,,,,,,,,,,,,,,,
0,Najmabadi_Beyond_the_Americas.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Najmabadi_Beyond_the_Americas.pdf,84117,82.15 KB,Thu Apr 21 20:09:08 2022,Mon Feb 15 23:58:44 2021,18.1najmabadi.indd,Acrobat Distiller 6.0.1 for Macintosh,11.0,,,,,,,,,,,,,,,,,,,,,
0,Текст для чтения.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Текст для чтения.docx,29706,29.01 KB,Tue Mar 16 12:10:09 2021,Tue Mar 16 12:10:09 2021,,,,Карнаухов Иван Алексеевич,,,,2021-03-15 17:53:00,,,,Карнаухов Иван Алексеевич,,2021-03-16 09:10:00,5.0,,,,,,,,,
0,Repina_L_P_Zhenschiny_i_muzhchiny_v_istorii_Novaya_kartina_evropeyskogo_proshlogo_Ocherki_Khrestomatia.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Repina_L_P_Zhenschiny_i_muzhchiny_v_istorii_Novaya_kartina_evropeyskogo_proshlogo_Ocherki_Khrestomatia.pdf,29700882,28.32 MB,Fri Nov 12 18:40:05 2021,Fri Feb 12 22:23:17 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Kollektiv_avtorov_Vvedenie_v_gendernye_issledovania_Tom_1_Uchebnoe_posobie.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /доклад/Kollektiv_avtorov_Vvedenie_v_gendernye_issledovania_Tom_1_Uchebnoe_posobie.pdf,5167477,4.93 MB,Tue Nov 30 03:11:40 2021,Mon Feb 15 23:47:28 2021,ff,GPL Ghostscript 9.05,700.0,,,,,,,,,,,,,,,,,,,,,
0,Семинар 6. теория и методология.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Теория и методология /Семинары. Теория и методология/Семинар 6. теория и методология.docx,18331,17.9 KB,Mon Feb 15 22:44:29 2021,Mon Feb 15 22:44:29 2021,,,,Карнаухов Иван Алексеевич,,,,2021-02-13 22:04:00,,,,Карнаухов Иван Алексеевич,,2021-02-15 19:44:00,5.0,,,,,,,,,
